序號,方言差編碼,詞目,鹿港,三峽,臺北,宜蘭,臺南,高雄,金門,馬公,新竹,臺中
1,[方1]0001,醫院,"病院　pǐnn-ǐnn, 醫生館　i-sing-kuán","病院　pīnn-īnn, 醫生館　i-sing-kuán","病院　pīnn-īnn, 醫生館　i-sing-kuán","病院　pēnn-īnn, 醫生館　i-sing-kuán","病院　pēnn-īnn, 醫生館　i-sing-kuán","病院　pēnn-īnn, 醫生館　i-sing-kuán",醫院　i-īnn,"醫生館　i-sing-kuán, 病院　pīnn-īnn",病院　pīnn-ìnn,"病院　pēnn-ìnn, 醫生館　i-sing-kuán"
2,[方1]0002,看醫生,看醫生　khuànn-i-sing,看醫生　khuànn-i-sing,"予醫生看　hōo i-sing-khuànn, 看醫生　khuànn-i-sing","予醫生看　hōo i-sing-khuànn, 看醫生　khuànn-i-sing","予醫生看　hōo i-sing-khuànn, 看醫生　khuànn-i-sing","予醫生看　hōo i-sing-khuànn, 看醫生　khuànn-i-sing",予醫生看　hōo i-sing khuànn,"看醫生　khuànn-i-sing, 揣醫生　tshē-i-sing","予醫生看　hōo i sing khuànn, 看醫生　khuànn-i-sing",看醫生　khuànn-i-sing
3,[方1]0003,把脈,"𥌚脈　bāi-be̍h, 節脈　tsat-be̍h",節脈　tsat-bē,節脈　tsat-me̍h,節脈　tsat-mē,"節脈　tsat-me̍h, 摸脈　bong-me̍h","節脈　tsat-me̍h, 候脈　hāu-me̍h","候脈　hāu-be̍h, 掠脈　lia̍h-be̍h, 𥌚脈　bāi-be̍h, 扞脈　huānn-be̍h","候脈　hāu-me̍h, 節脈　tsat-me̍h, 𥌚脈　bāi-me̍h",節脈　tsat-be̍h　,節脈　tsat-meh 
4,[方1]0004,注射,注射　tsù-siǎ; tsù-siā,注射　tsù-siā,注射　tsù-siā,注射　tsù-siā,注射　tsù-siā,注射　tsù-siā,"拍針　phah-tsam, 注射　tsù-siā",注射　tsù-siā,注射　tsù-siā,注射　tsù-siā
5,[方1]0005,艾,艾　hiānn,艾　hiānn,艾　hiānn,艾　hiānn,"艾　hiānn, 艾草　hiānn-tsháu",艾　hiānn,艾　hiānn,艾　hiānn,艾　hiānn,艾　hiānn
6,[方1]0006,拜拜,拜拜　pài-pài,拜拜　pài-pài,拜拜　pài-pài,拜拜　pài-pài,拜拜　pài-pài,拜拜　pài-pài,拜拜　pài-pài,拜拜　pài-pài,拜拜　pài-pài,拜拜　pài-pài
7,[方1]0007,擲筊杯,跋桮　pua̍h-pue,跋桮　puā-pue,跋桮　pua̍h-pue,跋桮　puā-pue,跋桮　pua̍h-pue,跋桮　pua̍h-pue,跋桮　pua̍h-pue,跋桮　pua̍h-pue,跋桮　pua̍h-pue,跋桮　pua̍h-pue
8,[方1]0008,陰筊,無桮　bô-pue,陰桮　im-pue,陰桮　im-pue,陰桮　im-pue,陰桮　im-pue,陰桮　im-pue,陰桮　im-pue,象桮　siūnn-pue,匼桮　khap-pue,"匼桮　khap-pue, 陰桮　im-pue"
9,[方1]0009,解籤詩,逼籤詩　pik-tshiam-si,解籤詩　kái-tshiam-si,逼籤詩　pik-tshiam-si,卜籤詩　pok-tshiam-si,逼籤詩　piat-tshiam-si,逼籤詩　pik-tshiam-si,逼籤詩　piat-tshiam-si,逼籤詩　pik-tshiam-si,"逼籤詩　pik-tshiam-si, 解籤　kái-tshiam",逼籤詩　pik-tshiam-si 
10,[方1]0010,卜卦,卜卦　pok-kuà,卜卦　pok-kuà,卜卦　pok-kuà,卜卦　pok-kuà,卜卦　pok-kuà,卜卦　pok-kuà,卜卦　pok-kuà,跋卦　pua̍h-kuà ,卜卦　pok-kuà,卜卦　pok-kuà
