例句編號,主編號,釋義編號,例句順序,例句,例句標音,華語翻譯
1,1,1,1,一蕊花,tsi̍t luí hue,一朵花
2,1,2,1,紅嬰仔哭甲一身軀汗。,Âng-enn-á khàu kah tsi̍t sin-khu kuānn. ,小嬰兒哭得滿身大汗。
3,1,3,1,一睏仔,tsi̍t-khùn-á,一下子
4,1,3,2,一絲仔,tsi̍t-si-á,一點點
5,2,5,1,一流,it-liû,
6,2,6,1,𪜶兩个生做一模一樣。,In nn̄g ê senn-tsò it-bôo-it-iūnn. ,他們兩個長得一模一樣。
7,2,7,1,一生,it-sing,
8,2,7,2,一向,it hiòng,
9,3,8,1,𪜶兩个兄弟仔為著拚生理，就按呢一刀兩斷無來去。,"In nn̄g ê hiann-tī-á uī-tio̍h piànn sing-lí, tō án-ne it-to-lióng-tuān bô lâi-khì. ",他們兄弟倆為了拚生意，就這樣斷絕關係，不相往來。
10,4,9,1,小等一下。,Sió-tán--tsi̍t-ē. ,稍等一會兒。
11,4,10,1,老母一下死，囡仔就大聲吼。,"Lāu-bú tsi̍t-ē sí, gín-á tō tuā-siann háu. ",媽媽一死，小孩子就大聲的哭。
12,4,11,1,氣一下袂講話。,Khì tsi̍t-ē bē kóng-uē. ,氣得說不出話來。
13,6,12,1,你一月日趁偌濟錢？,Lí tsi̍t gue̍h-ji̍t thàn guā-tsē tsînn? ,你一個月賺多少錢？
14,7,13,1,你毋好一日到暗拋拋走。,Lí m̄-hó tsi̍t-ji̍t-kàu-àm pha-pha-tsáu. ,你不要一天到晚四處亂跑。
15,9,14,1,你彩券若著頭獎，咱就一世人食穿免煩惱矣。,"Lí tshái-kuàn nā tio̍h thâu tsióng, lán tō tsi̍t-sì-lâng tsia̍h-tshīng bián huân-ló--ah. ",你若中了頭彩，我們就一輩子吃穿都不用愁了。
16,10,15,1,買水果的錢，一人愛出一半。,"Bé tsuí-kó ê tsînn, tsi̍t lâng ài tshut tsi̍t-puànn. ",買水果的錢，一人要出一半。
17,10,16,1,塗跤一半擺仔無拭，袂偌垃圾啦！,"Thôo-kha tsi̍t-puànn-pái-á bô tshit, bē guā lah-sap--lah! ",地板一兩次沒擦，不會多髒啦！
18,11,17,1,今仔日來上班的人才一半个仔爾爾。,Kin-á-ji̍t lâi siōng-pan ê lâng tsiah tsi̍t-puànn-ê-á niā-niā. ,今天只有少數幾個人來上班。
19,12,18,1,頭家人真好，我一半日仔無去，伊嘛袂按怎。,"Thâu-ke lâng tsin hó, guá tsi̍t-puànn-ji̍t-á bô khì, i mā bē án-tsuánn. ",老闆人真好，我一兩天沒去，他也不會怎樣。
20,13,19,1,物件毋通掖甲一四界。,Mi̍h-kiānn m̄-thang iā kah tsi̍t-sì-kè. ,東西不要撒得滿地都是。
21,14,20,1,一旦地動，彼間厝就會倒。,"It-tàn tē-tāng, hit king tshù tō ē tó. ",一旦地震，那間房子就會倒。
22,14,21,1,毀於一旦,huí î it-tàn,
23,15,22,1,做教授是我一生的願望。,Tsò kàu-siū sī guá it-sing ê guān-bōng. ,當教授是我一生的願望。
24,15,23,1,你毋通放蕩過一生。,Lí m̄-thang hòng-tōng kuè it-sing. ,你不要放蕩過一生。
25,16,24,1,對厝到公司，行路一目𥍉仔就到矣。,"Tuì tshù kàu kong-si, kiânn-lōo tsi̍t-ba̍k-nih-á tō kàu--ah. ",從家裡到公司，走路只要一眨眼的時間就可以到了。
26,20,28,1,伊講過的話，一定會記得。,"I kóng--kuè ê uē, it-tīng ē-kì--tit. ",他說過的話一定會記得。
27,20,29,1,咱愛有一定的頭路，生活才袂傷艱苦。,"Lán ài ū it-tīng ê thâu-lōo, sing-ua̍h tsiah bē siunn kan-khóo. ",我們要有固定的工作，生活才不會太困苦。
